id,ug_cm2,erro
GHA1,4.861500176,0.113226729
GHA2,5.0741740247,0.1189830059
GHA3,6.2225346342,0.1504383611
GHA4,6.0576510098,0.1458918776
GHA5,5.6996011648,0.1360493893
GHA6,6.434717205,0.1563003445
GHA8,10.0723103298,0.2579159956
GHA9,11.8330914408,0.3074751296
GHA10,9.0076233272,0.2280297053
GHA11,5.3586990293,0.1267241188
GHA12,5.3145821909,0.1255211143
GHA13,5.0063742989,0.1171449125
GHA14,5.479016083,0.1300096252
GHA15,3.784488849,0.0846673354
GHA16,3.9316617745,0.088491712
GHA17,4.1588383251,0.0944531926
GHA18,3.9517403986,0.0890159034
GHA19,5.0741740247,0.1189830059
GHA20,4.9398096097,0.1153429932
GHA021   ,0.2413448581,0.0417558105
GHA022   ,5.0741740247,0.1189830059
GHA023      ,5.4033549869,0.1279427668
GHA024      ,5.299994146,0.1251235269
GHA025      ,8.2163638305,0.2058773496
GHA026      ,6.434717205,0.1563003445
GHA027      ,5.3145821909,0.1255211143
GHA028      ,5.5251762807,0.131271844
GHA029,2.9999586401,0.0650110206
GHA030      ,3.3669189096,0.074022546
GHA031   ,6.0936542605,0.1468839311
GHA032      ,0.212284662,0.0422203427
GHA034      ,4.2779519942,0.0976033967
GHA035      ,0.2632926742,0.0414123905
GHA037      ,4.5167314979,0.103961556
GHA038      ,4.446901977,0.1020966435
GHA039      ,4.4816499447,0.103024106
GHA040      ,5.1154659939,0.1201037592
GHA41,4.7346019953,0.1098061692
GHA42,4.672768026,0.1081436244
GHA43,5.6672620122,0.1351626902
GHA44,5.1432554844,0.1208585637
GHA45,5.0605130727,0.1186124325
GHA46,5.0333434279,0.1178757384
GHA47,4.9004451314,0.1142786955
GHA48,4.9796027477,0.1164198737
GHA49,5.2854641054,0.1247276248
GHA50,5.1712579233,0.1216195804
GHA051      ,6.075608296,0.1463866326
GHA052   ,0.2816837567,0.0411296702
GHA053      ,6.2038425198,0.1499225449
GHA054      ,4.6605258022,0.1078148074
GHA055      ,8.0273061351,0.2005939518
GHA056,5.4943381196,0.130428493
GHA058      ,5.7486529133,0.1373950915
GHA061      ,4.5879214193,0.1058671227
GHA062      ,6.8552151022,0.1679500663
GHA063      ,0.2195280745,0.0421035255
GHA064      ,4.43539236,0.1017896794
GHA065      ,6.7024758384,0.1637138835
GHA067      ,5.4183624018,0.1283525229
GHA068      ,5.6996011648,0.1360493893
GHA070      ,4.9530259004,0.1157005426
GHA071      ,6.3561270707,0.1541277276
GHA072      ,3.078380113,0.0669027932
GHA074,0.3411650357,0.0402479855
GHA075      ,6.2602081678,0.1514782776
GHA076      ,8.6997107202,0.219402294
GHA077      ,8.8121596046,0.2225520471
GHA079      ,5.8487769955,0.1401446876
GHA080      ,8.5906190252,0.2163476843
GHA082      ,4.8229658957,0.1121868505
GHA083      ,5.1293343232,0.1204803905
GHA084      ,4.564037018,0.1052273282
GHA085,0.2596255385,0.0414693183
GHA086      ,4.9266409454,0.1149868418
GHA087      ,4.672768026,0.1081436244
GHA088      ,8.0273061351,0.2005939518
GHA089      ,4.5759597052,0.1055466441
GHA091      ,6.5558653292,0.159652517
GHA092      ,6.0936542605,0.1468839311
gha096,0.2706380041,0.041298915
GHA097      ,5.5406935031,0.1316963578
GHA098      ,7.6484340093,0.1900192744
GHA099      ,4.4239188799,0.1014838
GHA101      ,0.5020721779,0.0381357
GHA102      ,6.9914159749,0.1717315933
GHA104      ,8.3146917463,0.2086268038
GHA105      ,7.5125707631,0.1862319698
GHA106      ,5.7322290637,0.1369444128
GHA107      ,5.8998869251,0.1415496346
GHA111      ,6.9226810257,0.1698227549
GHA112      ,2.8703869715,0.0619337686
GHA113      ,0.2779981282,0.0411859544
GHA115      ,7.0379682018,0.1730249098
GHA116      ,2.8479907805,0.0614085336
GHA117,0.1906401739,0.0425734089
GHA119      ,4.3334052646,0.0990750994
GHA121      ,5.0063742989,0.1171449125
GHA122      ,9.9145462451,0.2534828362
GHA123      ,5.3884089522,0.12753479
GHA124      ,5.7486529133,0.1373950915
GHA126      ,5.479016083,0.1300096252
GHA128      ,5.3586990293,0.1267241188
GHA129      ,3.9316617745,0.088491712
GHA131      ,6.9226810257,0.1698227549
GHA132      ,6.7024758384,0.1637138835
GHA133      ,6.2982741411,0.152529428
GHA134      ,7.132890432,0.1756632891
GHA135      ,7.7324446149,0.1923624549
GHA136      ,7.132890432,0.1756632891
gha137,0.24864616,0.0416408477
GHA141,0.3411650357,0.0402479855
GHA143      ,6.5353930046,0.159085796
GHA144      ,4.8229658957,0.1121868505
GHA147      ,3.515737334,0.077776532
GHA148      ,5.8998869251,0.1415496346
GHA151,8.2488467145,0.2067855225
GHA152,0.3038759326,0.0407947881
GHA153,3.5246829943,0.0780037094
GHA154,6.681167904,0.1631233136
GHA155,3.3498027172,0.0735940289
GHA156,6.2982741411,0.152529428
GHA157,6.2982741411,0.152529428
GHA158,0.3449149595,0.0401941254
GHA159,5.6511991275,0.1347224178
GHA160,5.57192703,0.13255114
GHA161,7.9064918131,0.1972199039
GHA162,4.1164691503,0.0933365004
GHA163,1.2999228709,0.035336857
GHA164,0.2413448581,0.0417558105
GHA165,6.4546316978,0.15685113
GHA166,6.0936542605,0.1468839311
GHA167,7.2057360414,0.1776891398
GHA168,7.4074037816,0.1833022404
GHA170,3.1585214915,0.0688565876
GHA172,8.1522516528,0.2040852138
GHA173,8.381745011,0.2105023468
GHA174,5.4485634034,0.1291774296
GHA175,6.3367408163,0.1535920447
GHA176,8.5549670313,0.2153496589
GHA177,9.0076233272,0.2280297053
GHA178,,
GHA179,6.5150347325,0.158522332
GHA180,11.8330914408,0.3074751296
GHA181,7.3304683001,0.1811600769
GHA182,6.1483330921,0.1483913361
GHA183,7.3304683001,0.1811600769
GHA184,7.3559339111,0.1818690271
GHA185,0.3038759326,0.0407947881
GHA188,10.2371939542,0.2625507129
GHA190,8.6997107202,0.219402294
GHA191,7.2057360414,0.1776891398
GHA192,7.6762234999,0.1907942561
GHA193,6.1667427048,0.1488990593
GHA194,6.9454493261,0.1704549516
GHA195,6.8109200096,0.1667210467
GHA196,7.2800633576,0.1797571403
GHA197,5.5251762807,0.131271844
GHA199,7.7895442202,0.1939555975
GHA201,8.626622276,0.2173556659
GHA202,8.381745011,0.2105023468
GHA203,6.6179795793,0.1613725879
GHA205,8.5906190252,0.2163476843
GHA206,9.1718892016,0.2326354991
GHA207,6.8552151022,0.1679500663
GHA208,8.2163638305,0.2058773496
GHA210,9.3438880251,0.2374603358
GHA211,10.40987019,0.2674060303
GHA213,0.311303375,0.0406842665
GHA214,8.4846898578,0.2133827146
GHA215,6.8330004417,0.1673336437
GHA216,9.8634363155,0.2520469643
GHA217,9.6180891347,0.2451564775
GHA218,7.0614686069,0.1736779537
GHA219,8.5549670313,0.2153496589
GHA220,8.4157387481,0.2114533626
GHA221,8.4846898578,0.2133827146
